ID,Title,Company,Location,Salary,EasyApply,Remote,URL
"1","Enterprise Customer Success Lead","Speckle","US","$150000.0 - $180000.0 USD","False","True","https://www.indeed.com/viewjob?jk=476e3f83d0db4867"
"2","Customer Success Manager - SMB & Enterprise","Blooming Health","New York, NY, US","$70000.0 - $80000.0 USD","False","True","https://www.indeed.com/viewjob?jk=0c5a4b1300d41d25"
"3","Customer Success Manager","accrete","Alexandria, VA, US","$80000.0 - $152000.0 USD","False","True","https://www.indeed.com/viewjob?jk=7ac6511181c4a24a"
"4","Customer Success Manager - INDOPACOM","accrete","HI, US","$80000.0 - $152000.0 USD","False","True","https://www.indeed.com/viewjob?jk=56976a6101864443"
"5","Customer Success Director (Retail Vertical)","FIRST ADVANTAGE","Remote, US","$90000.0 - $110000.0 USD","False","True","https://www.indeed.com/viewjob?jk=c4bc77e5b695e572"
"6","Customer Success Director (Financial Services Vertical)","FIRST ADVANTAGE","Remote, US","$90000.0 - $110000.0 USD","False","True","https://www.indeed.com/viewjob?jk=9d22baebf12ee8a8"
"7","Customer Success Manager","Opus Training Inc.","US","$80000.0 - $100000.0 USD","False","True","https://www.indeed.com/viewjob?jk=b892223b9e75fe7b"
"8","EverPro - Customer Success Manager, Technical Onboarding (Remote, US)","Evercommerce","Remote, US","$70000.0 - $80000.0 USD","False","True","https://www.indeed.com/viewjob?jk=2b73923623a4522b"
"9","Technical Account Manager","KOMBO","New York, NY, US","$180000.0 - $200000.0 USD","False","True","https://www.indeed.com/viewjob?jk=9aa42cafc3cbbadc"
"10","Commercial Insurance Account Manager","Bluehill Insurance","FL, US","$55000.0 - $80000.0 USD","False","True","https://www.indeed.com/viewjob?jk=2b9c7b9d4e91dcc9"
"11","Commercial Account Executive- Mid-Atlantic","CyberArk","PA, US","$62000.0 - $100000.0 USD","False","True","https://www.indeed.com/viewjob?jk=4884fef4d9a2e13d"
"12","Sales & Account Management Representative","AB Hires and Consulting","Atlanta, GA, US","$70000.0 - $100000.0 USD","False","True","https://www.indeed.com/viewjob?jk=99890889d40b8e49"
