ID,Company,Title,Location,Salary,Status,Method,ConfirmationID,URL
"1","HubSpot","Senior Customer Success Manager","Atlanta, GA","$75001 - $95001","submitted","external_automated","EXT2026020367326","https://careers.hubspot.com/jobs/1"
"2","Zoom","Account Manager","Austin, TX","$75002 - $95002","submitted","external_automated","EXT2026020357257","https://careers.zoom.com/jobs/2"
"3","Slack","Senior Account Manager","Boston, MA","$75003 - $95003","submitted","external_automated","EXT2026020374701","https://careers.slack.com/jobs/3"
"4","Atlassian","Strategic Account Manager","Chicago, IL","$75004 - $95004","submitted","external_automated","EXT2026020379095","https://careers.atlassian.com/jobs/4"
"5","Zendesk","Client Success Manager","Denver, CO","$75005 - $95005","external_manual","external_manual","","https://careers.zendesk.com/jobs/5"
"6","ServiceNow","Enterprise Customer Success Manager","Los Angeles, CA","$75006 - $95006","submitted","direct_portal","DIR2026020352809","https://careers.servicenow.com/jobs/6"
"7","Workday","Account Executive","New York, NY","$75007 - $95007","submitted","external_automated","EXT2026020319108","https://careers.workday.com/jobs/7"
"8","Snowflake","Sales Representative","San Francisco, CA","$75008 - $95008","submitted","external_automated","EXT2026020378212","https://careers.snowflake.com/jobs/8"
"9","Datadog","Business Development Representative","Seattle, WA","$75009 - $95009","submitted","direct_portal","DIR2026020393698","https://careers.datadog.com/jobs/9"
"10","MongoDB","Sales Development Representative","Miami, FL","$75010 - $95010","submitted","external_automated","EXT2026020395455","https://careers.mongodb.com/jobs/10"
"11","Elastic","Client Relationship Manager","Phoenix, AZ","$75011 - $95011","submitted","external_automated","EXT2026020351090","https://careers.elastic.com/jobs/11"
"12","Twilio","Customer Success Specialist","Portland, OR","$75012 - $95012","submitted","external_automated","EXT2026020316235","https://careers.twilio.com/jobs/12"
"13","SendGrid","Technical Account Manager","San Diego, CA","$75013 - $95013","submitted","direct_portal","DIR2026020344977","https://careers.sendgrid.com/jobs/13"
"14","Mailchimp","Implementation Success Manager","Dallas, TX","$75014 - $95014","external_manual","external_manual","","https://careers.mailchimp.com/jobs/14"
"15","DocuSign","Customer Success Manager","Houston, TX","$75015 - $95015","submitted","direct_portal","DIR2026020348431","https://careers.docusign.com/jobs/15"
"16","Dropbox","Senior Customer Success Manager","Washington, DC","$75016 - $95016","submitted","external_automated","EXT2026020384241","https://careers.dropbox.com/jobs/16"
"17","Box","Account Manager","Philadelphia, PA","$75017 - $95017","external_manual","external_manual","","https://careers.box.com/jobs/17"
